s (1,1) 417
s (2,1) 150
s (3,1) 577
s (4,1) 683
s (5,1) 875
s (6,1) 975
s (7,1) 755
s (8,1) 694
s (9,1) 850
s (10,1) 941
s (11,1) 390
s (12,1) 855
s (13,1) 624
s (14,1) 401
s (15,1) 826
s (16,1) 458
s (17,1) 865
s (18,1) 196
s (19,1) 850
s (20,1) 255
s (21,1) 878
s (22,1) 974
s (23,1) 233
s (24,1) 950
s (25,1) 630
s (26,1) 436
s (27,1) 431
s (28,1) 244
s (29,1) 791
s (30,1) 647
s (31,1) 155
s (32,1) 155
s (33,1) 909
s (34,1) 633
s (35,1) 575
s (36,1) 911
s (37,1) 573
s (38,1) 403
s (39,1) 67
s (40,1) 853
s (41,1) 745
s (42,1) 946
s (43,1) 783
s (44,1) 614
s (45,1) 784
s (46,1) 945
s (47,1) 888
s (48,1) 833
s (49,1) 921
s (50,1) 391
s (51,1) 894
s (52,1) 695
s (53,1) 68
s (54,1) 977
s (55,1) 32
s (56,1) 904
s (57,1) 237
s (58,1) 962
s (59,1) 28
s (60,1) 387
s (61,1) 726
s (62,1) 670
s (63,1) 927
s (64,1) 930
s (65,1) 888
s (66,1) 254
s (67,1) 797
s (68,1) 180
s (69,1) 645
s (70,1) 526
s (71,1) 462
s (72,1) 716
s (73,1) 613
s (74,1) 787
s (75,1) 397
s (76,1) 878
s (77,1) 922
s (78,1) 760
s (79,1) 894
s (80,1) 402
s (81,1) 122
s (82,1) 367
s (83,1) 380
s (84,1) 737
s (85,1) 194
s (86,1) 316
s (87,1) 92
s (88,1) 116
s (89,1) 714
s (90,1) 637
s (91,1) 889
s (92,1) 597
s (93,1) 24
s (94,1) 822
s (95,1) 61
s (96,1) 757
s (97,1) 964
s (98,1) 490
s (99,1) 496
s (100,1) 92
s (101,1) 510
s (102,1) 771
s (103,1) 424
s (104,1) 999
s (105,1) 487
s (106,1) 610
s (107,1) 262
s (108,1) 339
s (109,1) 514
s (110,1) 602
s (111,1) 697
s (112,1) 487
s (113,1) 392
s (114,1) 855
s (115,1) 329
s (116,1) 400
s (117,1) 562
s (118,1) 468
s (119,1) 913
s (120,1) 191
s (121,1) 159
s (122,1) 986
s (123,1) 746
s (124,1) 789
s (125,1) 875
s (126,1) 60
s (127,1) 441
s (128,1) 974
s (129,1) 184
s (130,1) 391
s (131,1) 236
s (132,1) 59
s (133,1) 251
s (134,1) 616
s (135,1) 430
s (136,1) 441
s (137,1) 389
s (138,1) 973
s (139,1) 348
s (140,1) 672
s (141,1) 908
s (142,1) 13
s (143,1) 331
s (144,1) 294
s (145,1) 454
s (146,1) 227
s (147,1) 456
s (148,1) 633
s (149,1) 442
s (150,1) 638
s (151,1) 412
s (152,1) 11
s (153,1) 883
s (154,1) 732
s (155,1) 26
s (156,1) 39
s (157,1) 537
s (158,1) 716
s (159,1) 583
s (160,1) 939
s (161,1) 533
s (162,1) 571
s (163,1) 972
s (164,1) 702
s (165,1) 809
s (166,1) 599
s (167,1) 571
s (168,1) 616
s (169,1) 403
s (170,1) 663
s (171,1) 732
s (172,1) 993
s (173,1) 172
s (174,1) 123
s (175,1) 562
s (176,1) 537
s (177,1) 960
s (178,1) 88
s (179,1) 231
s (180,1) 975
s (181,1) 924
s (182,1) 923
s (183,1) 968
s (184,1) 861
s (185,1) 199
s (186,1) 367
s (187,1) 566
s (188,1) 393
s (189,1) 431
