s (1,1) 197
s (2,1) 620
s (3,1) 557
s (4,1) 506
s (5,1) 269
s (6,1) 620
s (7,1) 230
s (8,1) 246
s (9,1) 154
s (10,1) 891
s (11,1) 406
s (12,1) 528
s (13,1) 231
s (14,1) 526
s (15,1) 494
s (16,1) 448
s (17,1) 205
s (18,1) 431
s (19,1) 100
s (20,1) 446
s (21,1) 567
s (22,1) 510
s (23,1) 700
s (24,1) 998
s (25,1) 171
s (26,1) 644
s (27,1) 158
s (28,1) 873
s (29,1) 661
s (30,1) 17
s (31,1) 595
s (32,1) 192
s (33,1) 94
s (34,1) 21
s (35,1) 997
s (36,1) 186
s (37,1) 948
s (38,1) 707
s (39,1) 459
s (40,1) 468
s (41,1) 159
s (42,1) 490
s (43,1) 110
s (44,1) 176
s (45,1) 792
s (46,1) 445
s (47,1) 434
s (48,1) 782
s (49,1) 845
s (50,1) 130
s (51,1) 748
s (52,1) 46
s (53,1) 245
s (54,1) 816
s (55,1) 173
s (56,1) 96
s (57,1) 581
s (58,1) 921
s (59,1) 736
s (60,1) 819
s (61,1) 613
s (62,1) 743
s (63,1) 110
s (64,1) 642
s (65,1) 610
s (66,1) 75
s (67,1) 75
s (68,1) 749
s (69,1) 560
s (70,1) 896
s (71,1) 980
s (72,1) 387
s (73,1) 635
s (74,1) 838
s (75,1) 392
s (76,1) 676
s (77,1) 658
s (78,1) 43
s (79,1) 336
s (80,1) 405
s (81,1) 561
s (82,1) 364
s (83,1) 228
s (84,1) 501
s (85,1) 498
s (86,1) 977
s (87,1) 644
s (88,1) 4
s (89,1) 47
s (90,1) 926
s (91,1) 848
s (92,1) 892
s (93,1) 871
s (94,1) 165
s (95,1) 476
s (96,1) 687
s (97,1) 251
s (98,1) 457
s (99,1) 731
s (100,1) 936
s (101,1) 259
s (102,1) 366
s (103,1) 526
s (104,1) 557
s (105,1) 273
s (106,1) 108
s (107,1) 569
s (108,1) 970
s (109,1) 642
s (110,1) 411
s (111,1) 219
s (112,1) 393
s (113,1) 196
s (114,1) 256
s (115,1) 833
s (116,1) 541
s (117,1) 601
s (118,1) 165
s (119,1) 373
s (120,1) 79
s (121,1) 407
s (122,1) 630
s (123,1) 440
s (124,1) 807
s (125,1) 368
s (126,1) 192
s (127,1) 105
s (128,1) 156
s (129,1) 5
s (130,1) 964
s (131,1) 216
s (132,1) 206
s (133,1) 682
s (134,1) 433
s (135,1) 732
s (136,1) 208
s (137,1) 134
s (138,1) 808
s (139,1) 478
s (140,1) 980
s (141,1) 106
s (142,1) 848
s (143,1) 280
s (144,1) 415
s (145,1) 699
s (146,1) 482
s (147,1) 117
s (148,1) 843
s (149,1) 494
s (150,1) 480
s (151,1) 381
s (152,1) 987
s (153,1) 463
s (154,1) 558
s (155,1) 893
s (156,1) 345
s (157,1) 21
s (158,1) 842
s (159,1) 754
s (160,1) 923
s (161,1) 125
s (162,1) 111
s (163,1) 496
s (164,1) 389
s (165,1) 362
s (166,1) 125
s (167,1) 315
s (168,1) 200
s (169,1) 838
s (170,1) 373
s (171,1) 585
s (172,1) 607
s (173,1) 216
s (174,1) 728
s (175,1) 546
s (176,1) 538
s (177,1) 722
s (178,1) 711
s (179,1) 989
s (180,1) 987
s (181,1) 517
s (182,1) 61
s (183,1) 840
s (184,1) 406
s (185,1) 923
s (186,1) 489
s (187,1) 755
s (188,1) 678
s (189,1) 633
s (190,1) 848
s (191,1) 274
s (192,1) 186
s (193,1) 751
s (194,1) 927
s (195,1) 301
s (196,1) 239
s (197,1) 582
s (198,1) 46
s (199,1) 902
s (200,1) 615
s (201,1) 61
s (202,1) 16
s (203,1) 575
s (204,1) 847
s (205,1) 199
s (206,1) 934
s (207,1) 525
s (208,1) 774
s (209,1) 268
s (210,1) 387
s (211,1) 605
s (212,1) 777
s (213,1) 74
s (214,1) 866
