s (1,1) 761
s (2,1) 619
s (3,1) 611
s (4,1) 450
s (5,1) 261
s (6,1) 95
s (7,1) 414
s (8,1) 579
s (9,1) 760
s (10,1) 792
s (11,1) 50
s (12,1) 376
s (13,1) 3
s (14,1) 825
s (15,1) 125
s (16,1) 428
s (17,1) 773
s (18,1) 528
s (19,1) 196
s (20,1) 827
s (21,1) 723
s (22,1) 392
s (23,1) 977
s (24,1) 197
s (25,1) 984
s (26,1) 812
s (27,1) 112
s (28,1) 947
s (29,1) 433
s (30,1) 935
s (31,1) 374
s (32,1) 319
s (33,1) 376
s (34,1) 55
s (35,1) 791
s (36,1) 72
s (37,1) 714
s (38,1) 343
s (39,1) 410
s (40,1) 354
s (41,1) 295
s (42,1) 563
s (43,1) 19
s (44,1) 852
s (45,1) 46
s (46,1) 175
s (47,1) 486
s (48,1) 315
s (49,1) 610
s (50,1) 680
s (51,1) 586
s (52,1) 68
s (53,1) 198
s (54,1) 772
s (55,1) 490
s (56,1) 143
s (57,1) 288
s (58,1) 901
s (59,1) 227
s (60,1) 895
s (61,1) 500
s (62,1) 536
s (63,1) 754
s (64,1) 525
s (65,1) 72
s (66,1) 12
s (67,1) 950
s (68,1) 836
s (69,1) 423
s (70,1) 374
s (71,1) 477
s (72,1) 424
s (73,1) 765
s (74,1) 858
s (75,1) 782
s (76,1) 272
s (77,1) 758
s (78,1) 67
s (79,1) 890
s (80,1) 682
s (81,1) 795
s (82,1) 627
s (83,1) 935
s (84,1) 597
s (85,1) 658
s (86,1) 783
s (87,1) 818
s (88,1) 26
s (89,1) 472
s (90,1) 738
s (91,1) 449
s (92,1) 196
s (93,1) 830
s (94,1) 602
s (95,1) 995
s (96,1) 318
s (97,1) 830
s (98,1) 927
s (99,1) 525
s (100,1) 892
s (101,1) 208
s (102,1) 439
s (103,1) 625
s (104,1) 425
s (105,1) 517
s (106,1) 142
s (107,1) 284
s (108,1) 895
s (109,1) 343
s (110,1) 203
s (111,1) 277
s (112,1) 526
s (113,1) 899
s (114,1) 302
s (115,1) 477
s (116,1) 883
s (117,1) 220
s (118,1) 182
s (119,1) 408
s (120,1) 418
s (121,1) 413
s (122,1) 311
s (123,1) 278
s (124,1) 983
s (125,1) 187
s (126,1) 648
s (127,1) 213
s (128,1) 589
s (129,1) 517
s (130,1) 266
s (131,1) 535
s (132,1) 353
s (133,1) 833
s (134,1) 501
s (135,1) 548
s (136,1) 65
s (137,1) 260
s (138,1) 549
s (139,1) 788
s (140,1) 446
s (141,1) 773
s (142,1) 641
s (143,1) 803
s (144,1) 977
s (145,1) 142
s (146,1) 588
s (147,1) 89
s (148,1) 218
s (149,1) 856
s (150,1) 316
s (151,1) 509
s (152,1) 779
s (153,1) 467
s (154,1) 856
s (155,1) 645
s (156,1) 139
s (157,1) 735
s (158,1) 535
s (159,1) 605
s (160,1) 270
s (161,1) 201
s (162,1) 443
s (163,1) 169
s (164,1) 74
s (165,1) 733
s (166,1) 693
s (167,1) 321
s (168,1) 420
s (169,1) 821
s (170,1) 682
s (171,1) 920
s (172,1) 857
s (173,1) 155
s (174,1) 802
s (175,1) 425
s (176,1) 25
s (177,1) 97
s (178,1) 49
s (179,1) 687
s (180,1) 317
s (181,1) 794
s (182,1) 591
s (183,1) 414
s (184,1) 97
s (185,1) 668
s (186,1) 378
s (187,1) 475
s (188,1) 820
s (189,1) 957
s (190,1) 315
s (191,1) 557
s (192,1) 949
s (193,1) 103
s (194,1) 998
s (195,1) 207
s (196,1) 696
s (197,1) 834
s (198,1) 595
s (199,1) 388
s (200,1) 542
s (201,1) 532
s (202,1) 729
s (203,1) 837
s (204,1) 571
s (205,1) 191
s (206,1) 266
s (207,1) 113
s (208,1) 592
s (209,1) 351
s (210,1) 434
s (211,1) 418
s (212,1) 768
s (213,1) 510
s (214,1) 537
s (215,1) 896
s (216,1) 568
s (217,1) 878
s (218,1) 752
s (219,1) 20
s (220,1) 296
s (221,1) 987
s (222,1) 736
s (223,1) 659
s (224,1) 406
s (225,1) 547
s (226,1) 453
s (227,1) 853
s (228,1) 602
s (229,1) 938
s (230,1) 850
s (231,1) 257
s (232,1) 907
s (233,1) 358
s (234,1) 647
s (235,1) 199
s (236,1) 64
s (237,1) 300
s (238,1) 141
s (239,1) 401
s (240,1) 803
s (241,1) 957
s (242,1) 225
s (243,1) 119
s (244,1) 912
s (245,1) 800
s (246,1) 615
s (247,1) 661
s (248,1) 212
s (249,1) 581
s (250,1) 574
(1,1) (1,2) 924
(2,1) (2,2) 377
(3,1) (3,2) 403
(4,1) (4,2) 929
(5,1) (5,2) 890
(6,1) (6,2) 469
(7,1) (7,2) 71
(8,1) (8,2) 150
(9,1) (9,2) 630
(10,1) (10,2) 657
(11,1) (11,2) 115
(12,1) (12,2) 903
(13,1) (13,2) 884
(14,1) (14,2) 711
(15,1) (15,2) 350
(16,1) (16,2) 958
