s (1,1) 500
s (2,1) 904
s (3,1) 77
s (4,1) 794
s (5,1) 748
s (6,1) 417
s (7,1) 60
s (8,1) 871
s (9,1) 860
s (10,1) 803
s (11,1) 923
s (12,1) 91
s (13,1) 697
s (14,1) 770
s (15,1) 185
s (16,1) 59
s (17,1) 206
s (18,1) 673
s (19,1) 647
s (20,1) 347
s (21,1) 518
s (22,1) 787
s (23,1) 974
s (24,1) 641
s (25,1) 1
s (26,1) 53
s (27,1) 733
s (28,1) 447
s (29,1) 585
s (30,1) 600
s (31,1) 102
s (32,1) 722
s (33,1) 95
s (34,1) 4
s (35,1) 468
s (36,1) 904
s (37,1) 527
s (38,1) 776
s (39,1) 476
s (40,1) 310
s (41,1) 693
s (42,1) 439
s (43,1) 212
s (44,1) 263
s (45,1) 578
s (46,1) 748
s (47,1) 332
s (48,1) 953
s (49,1) 751
s (50,1) 718
s (51,1) 184
s (52,1) 770
s (53,1) 701
s (54,1) 966
s (55,1) 279
s (56,1) 792
s (57,1) 262
s (58,1) 781
s (59,1) 843
s (60,1) 741
s (61,1) 891
s (62,1) 459
s (63,1) 437
s (64,1) 801
s (65,1) 819
s (66,1) 42
s (67,1) 804
s (68,1) 130
s (69,1) 77
s (70,1) 337
s (71,1) 210
s (72,1) 62
s (73,1) 131
s (74,1) 652
s (75,1) 579
s (76,1) 505
s (77,1) 595
s (78,1) 425
s (79,1) 427
s (80,1) 874
s (81,1) 210
s (82,1) 29
s (83,1) 835
s (84,1) 839
s (85,1) 527
s (86,1) 85
s (87,1) 760
s (88,1) 465
s (89,1) 322
s (90,1) 49
s (91,1) 88
s (92,1) 475
s (93,1) 855
s (94,1) 370
s (95,1) 753
s (96,1) 364
s (97,1) 683
s (98,1) 540
s (99,1) 752
s (100,1) 660
s (101,1) 282
s (102,1) 535
s (103,1) 83
s (104,1) 59
s (105,1) 386
s (106,1) 240
s (107,1) 396
s (108,1) 308
s (109,1) 215
s (110,1) 764
s (111,1) 954
s (112,1) 800
s (113,1) 644
s (114,1) 964
s (115,1) 125
s (116,1) 215
s (117,1) 75
s (118,1) 571
s (119,1) 470
s (120,1) 50
s (121,1) 697
s (122,1) 5
s (123,1) 497
s (124,1) 4
s (125,1) 81
s (126,1) 594
s (127,1) 816
s (128,1) 95
s (129,1) 643
s (130,1) 712
s (131,1) 997
s (132,1) 242
s (133,1) 505
s (134,1) 423
s (135,1) 579
s (136,1) 104
s (137,1) 750
s (138,1) 933
s (139,1) 258
s (140,1) 508
s (141,1) 867
s (142,1) 90
s (143,1) 189
s (144,1) 888
s (145,1) 223
s (146,1) 318
s (147,1) 546
s (148,1) 589
s (149,1) 539
s (150,1) 342
s (151,1) 813
s (152,1) 685
s (153,1) 927
s (154,1) 53
s (155,1) 529
s (156,1) 172
s (157,1) 508
s (158,1) 255
s (159,1) 236
s (160,1) 933
s (161,1) 55
s (162,1) 33
s (163,1) 326
s (164,1) 649
s (165,1) 823
s (166,1) 412
s (167,1) 878
s (168,1) 530
s (169,1) 11
s (170,1) 993
s (171,1) 497
s (172,1) 493
s (173,1) 467
s (174,1) 630
s (175,1) 576
s (176,1) 286
s (177,1) 505
s (178,1) 62
s (179,1) 596
s (180,1) 326
s (181,1) 835
s (182,1) 39
s (183,1) 697
s (184,1) 919
s (185,1) 569
s (186,1) 549
s (187,1) 364
s (188,1) 368
s (189,1) 549
s (190,1) 508
s (191,1) 19
s (192,1) 691
s (193,1) 564
s (194,1) 634
s (195,1) 903
s (196,1) 708
s (197,1) 271
s (198,1) 635
s (199,1) 112
s (200,1) 621
s (201,1) 710
s (202,1) 886
s (203,1) 638
s (204,1) 788
s (205,1) 314
s (206,1) 357
s (207,1) 959
s (208,1) 470
s (209,1) 157
s (210,1) 498
s (211,1) 385
s (212,1) 876
s (213,1) 425
s (214,1) 956
s (215,1) 246
s (216,1) 356
s (217,1) 993
s (218,1) 865
s (219,1) 919
s (220,1) 459
s (221,1) 544
s (222,1) 157
s (223,1) 943
s (224,1) 805
s (225,1) 132
s (226,1) 633
s (227,1) 69
s (228,1) 95
s (229,1) 879
s (230,1) 711
s (231,1) 925
s (232,1) 756
s (233,1) 522
s (234,1) 418
s (235,1) 492
s (236,1) 796
s (237,1) 869
s (238,1) 410
s (239,1) 693
s (240,1) 107
s (241,1) 279
s (242,1) 85
s (243,1) 389
s (244,1) 221
s (245,1) 183
s (246,1) 473
s (247,1) 712
s (248,1) 159
s (249,1) 45
s (250,1) 277
(1,1) (1,2) 765
(2,1) (2,2) 81
(3,1) (3,2) 488
(4,1) (4,2) 400
(5,1) (5,2) 909
(6,1) (6,2) 287
(7,1) (7,2) 341
(8,1) (8,2) 145
(9,1) (9,2) 803
(10,1) (10,2) 343
(11,1) (11,2) 600
(12,1) (12,2) 189
(13,1) (13,2) 497
(14,1) (14,2) 789
(15,1) (15,2) 299
(16,1) (16,2) 831
(17,1) (17,2) 295
(18,1) (18,2) 921
(19,1) (19,2) 416
(20,1) (20,2) 578
(21,1) (21,2) 616
(22,1) (22,2) 498
(23,1) (23,2) 660
(24,1) (24,2) 578
(25,1) (25,2) 11
(26,1) (26,2) 196
(27,1) (27,2) 146
(28,1) (28,2) 769
(29,1) (29,2) 130
(30,1) (30,2) 829
(31,1) (31,2) 744
(32,1) (32,2) 853
(33,1) (33,2) 187
(34,1) (34,2) 990
(35,1) (35,2) 562
(36,1) (36,2) 142
(37,1) (37,2) 937
(38,1) (38,2) 885
(39,1) (39,2) 586
(40,1) (40,2) 294
(41,1) (41,2) 662
(42,1) (42,2) 479
(43,1) (43,2) 265
(44,1) (44,2) 169
(45,1) (45,2) 631
(46,1) (46,2) 618
(47,1) (47,2) 885
(48,1) (48,2) 67
(49,1) (49,2) 908
(50,1) (50,2) 128
(51,1) (51,2) 550
(52,1) (52,2) 953
(53,1) (53,2) 58
(54,1) (54,2) 543
(55,1) (55,2) 550
(56,1) (56,2) 663
(57,1) (57,2) 879
(58,1) (58,2) 494
(59,1) (59,2) 765
(60,1) (60,2) 873
(61,1) (61,2) 938
(62,1) (62,2) 610
(63,1) (63,2) 790
(64,1) (64,2) 181
(65,1) (65,2) 84
(66,1) (66,2) 767
(67,1) (67,2) 858
(68,1) (68,2) 101
(69,1) (69,2) 183
(70,1) (70,2) 778
(71,1) (71,2) 247
(72,1) (72,2) 923
(73,1) (73,2) 249
(74,1) (74,2) 603
(75,1) (75,2) 604
(76,1) (76,2) 526
(77,1) (77,2) 13
(78,1) (78,2) 240
(79,1) (79,2) 532
(80,1) (80,2) 641
(81,1) (81,2) 350
(82,1) (82,2) 132
(83,1) (83,2) 908
(84,1) (84,2) 698
(85,1) (85,2) 737
(86,1) (86,2) 822
(87,1) (87,2) 859
(88,1) (88,2) 719
(89,1) (89,2) 70
(90,1) (90,2) 382
(91,1) (91,2) 461
(92,1) (92,2) 812
(93,1) (93,2) 626
(94,1) (94,2) 986
(95,1) (95,2) 579
(96,1) (96,2) 562
(97,1) (97,2) 549
(98,1) (98,2) 935
(99,1) (99,2) 387
(100,1) (100,2) 697
(101,1) (101,2) 499
(102,1) (102,2) 907
(103,1) (103,2) 56
(104,1) (104,2) 526
(105,1) (105,2) 345
(106,1) (106,2) 263
(107,1) (107,2) 590
(108,1) (108,2) 912
(109,1) (109,2) 525
(110,1) (110,2) 682
(111,1) (111,2) 500
(112,1) (112,2) 84
(113,1) (113,2) 514
(114,1) (114,2) 961
(115,1) (115,2) 958
(116,1) (116,2) 585
(117,1) (117,2) 911
(118,1) (118,2) 723
(119,1) (119,2) 861
(120,1) (120,2) 254
(121,1) (121,2) 771
(122,1) (122,2) 728
(123,1) (123,2) 910
(124,1) (124,2) 455
(125,1) (125,2) 768
(126,1) (126,2) 345
(127,1) (127,2) 668
(128,1) (128,2) 94
(129,1) (129,2) 513
(130,1) (130,2) 842
(131,1) (131,2) 994
(132,1) (132,2) 445
(133,1) (133,2) 8
(134,1) (134,2) 132
(135,1) (135,2) 81
(136,1) (136,2) 282
(137,1) (137,2) 568
(138,1) (138,2) 416
(139,1) (139,2) 322
(140,1) (140,2) 244
(141,1) (141,2) 868
(142,1) (142,2) 486
(143,1) (143,2) 961
(144,1) (144,2) 658
(145,1) (145,2) 211
(146,1) (146,2) 259
(147,1) (147,2) 439
(148,1) (148,2) 51
(149,1) (149,2) 529
(150,1) (150,2) 921
(151,1) (151,2) 554
(152,1) (152,2) 360
(153,1) (153,2) 931
(154,1) (154,2) 168
(155,1) (155,2) 683
(156,1) (156,2) 269
(157,1) (157,2) 966
(158,1) (158,2) 786
(159,1) (159,2) 283
(160,1) (160,2) 414
(161,1) (161,2) 12
(162,1) (162,2) 844
(163,1) (163,2) 307
(164,1) (164,2) 614
(165,1) (165,2) 396
(166,1) (166,2) 361
(167,1) (167,2) 207
(168,1) (168,2) 91
(169,1) (169,2) 405
(170,1) (170,2) 777
(171,1) (171,2) 462
(172,1) (172,2) 670
(173,1) (173,2) 167
(174,1) (174,2) 662
(175,1) (175,2) 808
(176,1) (176,2) 158
(177,1) (177,2) 398
(178,1) (178,2) 863
(179,1) (179,2) 276
(180,1) (180,2) 316
(181,1) (181,2) 659
(182,1) (182,2) 205
(183,1) (183,2) 245
(184,1) (184,2) 425
(185,1) (185,2) 937
(186,1) (186,2) 987
(187,1) (187,2) 233
(188,1) (188,2) 955
(189,1) (189,2) 585
(190,1) (190,2) 858
(191,1) (191,2) 342
(192,1) (192,2) 846
(193,1) (193,2) 707
(194,1) (194,2) 306
(195,1) (195,2) 425
(196,1) (196,2) 488
(197,1) (197,2) 633
(198,1) (198,2) 413
(199,1) (199,2) 692
(200,1) (200,2) 829
(201,1) (201,2) 817
(202,1) (202,2) 518
(203,1) (203,2) 859
(204,1) (204,2) 193
(205,1) (205,2) 816
(206,1) (206,2) 831
(207,1) (207,2) 100
(208,1) (208,2) 812
(209,1) (209,2) 861
(210,1) (210,2) 160
(211,1) (211,2) 321
(212,1) (212,2) 23
(213,1) (213,2) 721
(214,1) (214,2) 355
(215,1) (215,2) 898
(216,1) (216,2) 148
(217,1) (217,2) 745
(218,1) (218,2) 843
(219,1) (219,2) 971
(220,1) (220,2) 700
(221,1) (221,2) 53
(222,1) (222,2) 917
(223,1) (223,2) 624
(224,1) (224,2) 387
(225,1) (225,2) 129
(226,1) (226,2) 551
(227,1) (227,2) 873
(228,1) (228,2) 21
(229,1) (229,2) 477
(230,1) (230,2) 782
(231,1) (231,2) 118
(232,1) (232,2) 708
(233,1) (233,2) 466
(234,1) (234,2) 947
(235,1) (235,2) 200
(236,1) (236,2) 905
(237,1) (237,2) 860
(238,1) (238,2) 965
(239,1) (239,2) 65
(240,1) (240,2) 568
(241,1) (241,2) 71
(242,1) (242,2) 74
(243,1) (243,2) 329
(244,1) (244,2) 296
(245,1) (245,2) 823
(246,1) (246,2) 14
(247,1) (247,2) 422
(248,1) (248,2) 535
(249,1) (249,2) 224
(250,1) (250,2) 807
(1,2) (1,3) 935
(2,2) (2,3) 13
(3,2) (3,3) 590
(4,2) (4,3) 287
(5,2) (5,3) 693
(6,2) (6,3) 511
(7,2) (7,3) 594
(8,2) (8,3) 336
(9,2) (9,3) 711
(10,2) (10,3) 164
(11,2) (11,3) 386
(12,2) (12,3) 774
(13,2) (13,3) 112
(14,2) (14,3) 284
(15,2) (15,3) 812
(16,2) (16,3) 997
(17,2) (17,3) 431
(18,2) (18,3) 283
(19,2) (19,3) 367
(20,2) (20,3) 900
(21,2) (21,3) 403
(22,2) (22,3) 413
(23,2) (23,3) 21
(24,2) (24,3) 849
(25,2) (25,3) 361
(26,2) (26,3) 964
(27,2) (27,3) 673
(28,2) (28,3) 788
(29,2) (29,3) 355
(30,2) (30,3) 245
(31,2) (31,3) 649
(32,2) (32,3) 696
(33,2) (33,3) 671
(34,2) (34,3) 121
(35,2) (35,3) 624
(36,2) (36,3) 228
(37,2) (37,3) 329
(38,2) (38,3) 55
(39,2) (39,3) 731
(40,2) (40,3) 919
(41,2) (41,3) 22
(42,2) (42,3) 31
(43,2) (43,3) 357
(44,2) (44,3) 794
(45,2) (45,3) 814
(46,2) (46,3) 737
(47,2) (47,3) 394
(48,2) (48,3) 767
(49,2) (49,3) 37
(50,2) (50,3) 91
(51,2) (51,3) 333
(52,2) (52,3) 327
(53,2) (53,3) 126
(54,2) (54,3) 497
(55,2) (55,3) 486
(56,2) (56,3) 34
(57,2) (57,3) 876
(58,2) (58,3) 551
(59,2) (59,3) 3
(60,2) (60,3) 343
(61,2) (61,3) 151
(62,2) (62,3) 794
(63,2) (63,3) 825
(64,2) (64,3) 508
(65,2) (65,3) 639
(66,2) (66,3) 61
(67,2) (67,3) 55
(68,2) (68,3) 647
(69,2) (69,3) 945
(70,2) (70,3) 384
(71,2) (71,3) 615
(72,2) (72,3) 546
(73,2) (73,3) 27
(74,2) (74,3) 282
(75,2) (75,3) 515
(76,2) (76,3) 765
(77,2) (77,3) 12
(78,2) (78,3) 855
(79,2) (79,3) 664
(80,2) (80,3) 510
(81,2) (81,3) 733
(82,2) (82,3) 52
(83,2) (83,3) 937
(84,2) (84,3) 147
