s (1,1) 47
s (2,1) 11
s (3,1) 91
s (4,1) 52
s (5,1) 49
s (6,1) 2
s (7,1) 46
s (8,1) 64
s (9,1) 65
s (10,1) 100
s (11,1) 96
s (12,1) 52
s (13,1) 31
s (14,1) 83
s (15,1) 84
s (16,1) 97
s (17,1) 44
s (18,1) 65
s (19,1) 4
s (20,1) 78
s (21,1) 11
s (22,1) 39
s (23,1) 36
s (24,1) 91
s (25,1) 86
s (26,1) 34
s (27,1) 88
s (28,1) 69
s (29,1) 28
s (30,1) 48
s (31,1) 51
s (32,1) 35
s (33,1) 36
s (34,1) 24
s (35,1) 4
s (36,1) 88
s (37,1) 37
s (38,1) 28
s (39,1) 27
s (40,1) 37
s (41,1) 97
s (42,1) 49
s (43,1) 13
s (44,1) 42
s (45,1) 73
s (46,1) 57
s (47,1) 77
s (48,1) 89
s (49,1) 50
s (50,1) 68
s (51,1) 64
s (52,1) 84
s (53,1) 59
s (54,1) 92
s (55,1) 68
s (56,1) 81
s (57,1) 12
s (58,1) 52
s (59,1) 100
s (60,1) 63
s (61,1) 2
s (62,1) 67
s (63,1) 48
s (64,1) 31
s (65,1) 65
s (66,1) 79
s (67,1) 91
s (68,1) 13
s (69,1) 98
s (70,1) 53
s (71,1) 19
s (72,1) 57
s (73,1) 46
s (74,1) 68
s (75,1) 49
s (76,1) 2
s (77,1) 53
s (78,1) 43
s (79,1) 58
s (80,1) 31
s (81,1) 32
s (82,1) 19
s (83,1) 23
s (84,1) 37
s (85,1) 54
s (86,1) 14
s (87,1) 77
s (88,1) 57
s (89,1) 93
s (90,1) 42
s (91,1) 13
s (92,1) 38
s (93,1) 97
s (94,1) 25
s (95,1) 98
s (96,1) 42
s (97,1) 7
s (98,1) 67
s (99,1) 97
s (100,1) 67
s (101,1) 72
s (102,1) 90
s (103,1) 26
s (104,1) 17
s (105,1) 25
s (106,1) 10
s (107,1) 36
s (108,1) 65
s (109,1) 83
s (110,1) 22
s (111,1) 67
s (112,1) 61
s (113,1) 32
s (114,1) 45
s (115,1) 99
s (116,1) 77
s (117,1) 20
s (118,1) 70
s (119,1) 6
s (120,1) 50
s (121,1) 99
s (122,1) 100
s (123,1) 51
s (124,1) 73
s (125,1) 23
s (126,1) 86
s (127,1) 62
s (128,1) 69
s (129,1) 50
s (130,1) 96
s (131,1) 24
s (132,1) 66
s (133,1) 3
s (134,1) 2
s (135,1) 95
s (136,1) 94
s (137,1) 62
s (138,1) 54
s (139,1) 18
s (140,1) 10
s (141,1) 71
s (142,1) 77
s (143,1) 7
s (144,1) 56
s (145,1) 3
s (146,1) 83
s (147,1) 67
s (148,1) 73
s (149,1) 18
s (150,1) 92
s (151,1) 40
s (152,1) 10
s (153,1) 56
s (154,1) 86
s (155,1) 6
s (156,1) 21
s (157,1) 99
s (158,1) 74
s (159,1) 39
s (160,1) 26
s (161,1) 66
s (162,1) 95
s (163,1) 77
s (164,1) 55
s (165,1) 56
s (166,1) 10
s (167,1) 58
s (168,1) 6
s (169,1) 29
s (170,1) 23
s (171,1) 12
s (172,1) 29
s (173,1) 26
s (174,1) 45
s (175,1) 83
s (176,1) 92
s (177,1) 9
s (178,1) 83
s (179,1) 42
s (180,1) 56
s (181,1) 91
s (182,1) 20
s (183,1) 10
s (184,1) 79
s (185,1) 33
s (186,1) 40
s (187,1) 95
s (188,1) 25
s (189,1) 94
s (190,1) 88
s (191,1) 62
